ID,Họ tên,Giới tính,Ngày sinh,CCCD,SDT
CQ134,HOÀNG HỮU THÚY,nam,13/7/2022,093470232699,0587564854
CQ135,TRẦN THỊ THÚY,nữ,18/04/2021,048647908388,0567915918
CQ136,LƯƠNG ĐÌNH NAM,nữ,19/04/2014,094858049849,0786982383
CQ137,VƯƠNG HỮU TRUNG,nữ,21/04/2015,049937039060,0589585426
CQ138,HỒ MINH VINH,nam,19/01/2023,062456573326,0397455663
CQ139,VÕ GIA VÂN,nữ,08/05/1994,048282655708,0827542514
CQ140,Trí Đình Lê,nữ,01/10/2018,008655285725,0875498660
CQ141,NGUYỄN TẤN TÀI,nam,29/12/1998,019592792870,0599070835
CQ142,NGÔ HỮU THẢO,nam,24/04/2012,095827158342,0892930119
CQ143,TẠ VĂN DŨNG,Nam,18/01/2017,094110223910,0322083796
CQ144,DƯƠNG KHÁNH LAN,nữ,21/11/2021,044935845015,0963326979
CQ145,LÝ QUỐC NHÂN,nam,18/04/2016,083135704383,0385472228
CQ146,BÙI ĐÌNH ANH,nữ,9/10/2019,056710305574,0847180358
CQ147,PHAN THỊ VÂN,nữ,13/08/1997,060595746343,0849521016
CQ148,NGỌC ĐÌNH ANH,nam,25/04/2017,025480574597,0364855603
CQ149,HÀ VĂN TIẾN,nữ,25/02/1981,022721246383,0963166161
CQ150,LÝ NGỌC QUANG,nam,24/12/1991,089552234579,0761223412
CQ151,TRƯƠNG QUỐC BÌNH,nữ,27/07/2009,070500552894,0567935760
CQ152,LÊ ĐÌNH VỸ,nam,14/12/1993,092718786441,0963740855
CQ153,PHAN MINH QUANG,nam,17/10/1990,068553971587,0997982926
CQ154,ĐẶNG HỮU LAN,nữ,02/01/2018,052132682408,0788888314
CQ155,DƯƠNG HỮU TRUNG,nữ,09/03/1983,030244036743,0907543302
CQ156,TRỊNH ĐÌNH QUỐC,nam,27/12/2023,049913518755,0919784390
CQ157,HƯNG HỮU VY,nữ,16/03/1989,093465814347,0843680050
CQ158,HỒ NGỌC TUYẾT,nam,25/10/1984,036889433856,0399706859
CQ159,Trần Ngọc Thảo,nữ,08/03/1999,022102426612,0946677069
CQ160,NGỌC GIA VỸ,nữ,26/02/2022,046176190071,0354968521
CQ161,NGUYỄN THỊ XUÂN,nam,20/02/2023,064401545800,0904986818
CQ162,VƯƠNG THỊ VY,nữ,18/04/2003,006178656792,0788769930
CQ163,TẠ ĐÌNH THẢO,nam,03/12/2011,094387268117,0815478867
CQ164,VƯƠNG ĐÌNH THÚY,nữ,15/02/2016,026520242409,0396394238
CQ165,TRẦN KHANH DUY,nữ,10/04/1997,072296172079,0526326304
CQ166,NGUYỄN THỊ VŨ,nữ,25/08/2013,067475387312,0833875625
CQ167,TRỊNH HỮU LƯU,nữ,12/07/2013,048574911289,0857725347
CQ168,TRẦN KHÁNH MINH,nữ,25/12/2016,001786130518,0856986293
CQ169,TRẦN THỊ THÚY,nam,10/08/2004,093894975338,0567399213
CQ170,PHAN VĂN VY,nam,13/02/2011,042464282072,0787789185
CQ171,HƯNG KHÁNH ĐỨC,nữ,22/07/2018,096124424391,0857530765
CQ172,MAI VĂN MINH,nam,01/01/2016,002377430114,0386674935
CQ173,PHAN KHÁNH KHÁNH,nam,11/04/2002,008218262416,0787727760
CQ174,BÙI KHÁNH VINH,nam,18/02/2010,079984258267,0393317067
CQ175,TRỊNH VĂN LINH,nam,15/04/2020,087677168932,0376291600
CQ176,LÝ THANH LINH,nữ,28/07/1984,080145611461,0812813088
CQ177,Trí khánh huy,nữ,28/12/2021,038739903112,0384894382
CQ178,Lương Thị Tuyết,Nữ,26/06/1990,025506335625,0349944959
CQ179,Lê Minh Hương,nữ,03/03/2012,025539662670,0791851359
CQ180,Ngô Minh Nam,Nam,01/05/1995,092516965595,0321661063
CQ181,LÝ ĐÌNH THẢO,nữ,29/10/2020,034893983259,0823970941
CQ182,HỒ KHÁNH NAM,Nữ,17/08/2021,092865559996,0382757685
CQ183,NGUYỄN NGỌC YẾN,nữ,22/05/2018,082432838085,0762185548
CQ184,ĐẶNG MINH VŨ,nam,20/10/1995,067111057148,0836111765
CQ185,BẠCH GIA NGỌC,nam,08/07/2016,030916926510,0992692342
CQ186,HỒ GIA HOA,nam,12/09/1974,025694304953,0917746388
CQ187,TRẦN NGỌC SƠN,nữ,06/12/2019,070374738087,0857080750
CQ188,NGÔ MINH VŨ,nữ,30/07/1996,046441676374,0799002518
CQ189,HÀ NGỌC HOA,nam,08/05/2023,091589080341,0917235516
CQ190,LÝ ĐÌNH TRUNG,nữ,04/05/2004,075459171105,0393622523
CQ191,MAI NGỌC ĐỨC,nữ,07/12/2022,075110705603,0792134487
CQ192,TRƯƠNG ĐÌNH SƠN,nam,23/12/2008,014739066225,0904732677
CQ193,MAI VĂN LINH,nữ,08/05/2002,045768706528,0987189139
CQ194,DƯƠNG GIA NHÂN,Nữ,31/10/2017,040303681446,0851041404
CQ195,HÀ ĐÌNH LƯU,nam,23/04/2010,034692557675,0975593228
CQ196,LÝ VĂN XUÂN,nữ,26/10/2020,087776708936,0597358882
CQ197,ĐẶNG QUỐC KHANG,nữ,24/04/2016,036551097586,0527509686
CQ198,MAI NGỌC QUỐC,nam,31/05/2020,093778327657,0896727763
CQ199,BẠCH GIA VỸ,nữ,16/11/2003,052459661181,0913908895
CQ200,TRƯƠNG THANH VĨ,nam,29/11/2016,089167921192,0829587213
CQ201,TRẦN THANH YẾN,nữ,04/09/2011,042830495627,0344550089
CQ202,VŨ QUỐC THÁI,nữ,09/11/1998,006338238410,0523408947
CQ203,NGUYỄN KHÁNH TIẾN,nữ,11/1/2006,093374602573,0787249592
CQ204,TRÍ KHÁNH THÀNH,nữ,06/07/2020,066170759015,0971088847
CQ205,Mai Văn Mỹ,nữ,05/09/2013,040360233682,0964526481
CQ206,Mai Đình Tâm,nam,19/12/2017,024160971988,0909395445
CQ207,TẠ MINH ANH,nam,12/7/1986,006388507323,0854250957
CQ208,Dương Quốc Cảm,nữ,04/11/2008,034179159214,0584880277
CQ209,Phạm Thanh Hồng,nữ,07/06/2012,024635332990,0872430911
CQ210,DƯƠNG THANH BÌNH,nữ,14/6/2019,049917128613,0525292131
CQ211,HƯNG ĐÌNH LAN,nam,15/02/1996,096454656999,0845153130
CQ212,TẠ GIA CHI,nữ,30/08/2004,035969310880,0337102419
CQ213,Bạch Đình Hà,nữ,02/05/2018,075741720664,0882621344
CQ214,LÊ NGỌC NAM,nữ,18/01/2012,094879941004,0597983907
CQ215,VŨ QUỐC LINH,nam,24/07/2004,072435132838,0339063936
CQ216,VƯƠNG VĂN VY,nam,31/07/2019,079350604420,0778578325
CQ217,VƯƠNG MINH HƯƠNG,nữ,15/5/2019,082937041098,0881807252
CQ218,ĐẶNG QUỐC MỸ,nam,8/3/1990,095560263460,0795411465
CQ219,LÂM THANH TIẾN,nữ,27/10/2012,042703741929,0771649802
CQ220,HƯNG THỊ MỸ,nam,20/06/2019,091389866245,0797254702
CQ221,Hưng Quốc Hưng,Nữ,03/03/2018,079608887241,0884767256
CQ222,Bạch Minh Linh,nữ,5/3/2018,052378714688,0793466133
CQ223,Trinh Gia Tùng,nam,04/09/2009,014802785036,0784712755
CQ224,BẠCH GIA HẢI,nam,09/07/2014,036604589553,0897925647
CQ225,Đặng Khánh Duyên,nam,20/11/2004,087691351996,0522923794
CQ226,NGÔ VĂN LAN,nữ,04/11/2012,080915716906,0787887254
CQ227,LÂM THANH ĐỨC,nam,25/11/2017,054467248605,0707866332
CQ228,BÙI KHÁNH ĐỨC,nam,20/09/2007,066208288593,0988836189
CQ229,HỒ THỊ CẨM,nam,14/11/1987,080824949282,0365721782
CQ230,NGỌC GIA KHOA,nữ,15/07/2021,034603130461,0778119680
CQ231,VÕ KHÁNH CẪM,nam,22/04/2003,083207383819,0706586970
CQ232,DƯƠNG ĐÌNH YẾN,nam,8/3/2006,093624649949,0586957088
CQ233,ĐỖ MINH NHÂN,nam,26/10/2022,011505472521,0873275605
CQ234,Phan Ngọc Quốc,nữ,13/04/1990,095320458091,0346505168
CQ235,VÕ VĂN SƠN,nam,16/10/2016,054731613052,0874663066
CQ236,VŨ KHÁNH TOÀN,nam,07/10/2019,011734859738,0363352461
CQ237,LÂM MINH TÂM,nữ,27/01/2016,020354193199,0847090860
CQ238,TRÍ MINH TÙNG,nam,11/03/1999,026789953970,0918719985
CQ239,PHAN THỊ ĐỨC,nam,08/06/2019,086681073340,0335764024
CQ240,VŨ MINH VY,nữ,25/02/1996,002183503135,0786277253
CQ241,HƯNG VĂN MINH,nữ,29/06/1995,014893001046,0701833917
CQ242,LÝ VĂN VY,nữ,27/08/1996,060865081649,0343630899
CQ243,LƯƠNG ĐÌNH NHÂN,nam,09/01/2023,052725940614,0387623517
CQ244,TRÍ KHÁNH HUY,nam,29/04/2010,038862679398,0522128301
CQ245,VŨ GIA TUYẾT,nam,21/09/2019,015709526300,0709385582
CQ246,NGUYỄN ĐÌNH TÙNG,nam,22/07/2022,025961912403,0912250087
CQ247,TRÍ KHÁNH NAM,nam,11/02/2015,015426625147,0389815591
CQ248,HOÀNG MINH KHANG,nam,21/03/2020,095587856493,0827328924
CQ249,BÙI KHÁNH TRÍ,nữ,07/07/2012,060760642185,0908166919
CQ250,HƯNG ĐÌNH HÀ,nữ,21/04/2009,019508078964,0961264490
CQ251,TRƯƠNG ĐÌNH THÀNH,nữ,14/12/2020,079730174649,0586990467
CQ252,VƯƠNG THANH QUANG,nam,02/05/2012,060309192921,0388305478
CQ253,NGUYỄN MINH HÒA,Nữ,15/05/2010,096135420960,0915033780
CQ254,HOÀNG QUỐC THÀNH,nữ,10/02/2015,031176798309,0338801252
CQ255,TRÍ ĐÌNH TÚ,nam,27/08/2012,058394032961,0846870926
CQ256,DƯƠNG MINH KHOA,nữ,17/08/2013,004607549446,0971385109
CQ257,LÂM MINH NGỌC,nam,26/10/1991,080722609335,0918917000
CQ258,NGỌC MINH THẢO,Nữ,26/04/2000,074725403911,0876311880
CQ259,HÀ NGỌC MỸ,nam,06/07/2004,046966911281,0322774129
CQ260,HOÀNG VĂN VỸ,nữ,20/05/2002,052401705985,0529955063
CQ261,Vương Khánh Mỹ,nữ,13/12/2004,015272888663,0871319671
CQ262,Trịnh Ngọc Bình,nữ,25/06/2021,001158275494,0966764734
CQ263,NGỌC VĂN LÊ,nữ,26/03/2012,093939627758,0324426987
CQ264,TRƯƠNG HỮU LÊ,nam,21/11/2018,026228246927,0772857252
CQ265,VÕ HỮU HUY,nữ,28/10/2014,075924551458,0794125056
CQ266,TRỊNH ĐÌNH HỒNG,nam,08/12/2002,020558865570,0529075552
CQ267,VƯƠNG ĐÌNH NGỌC,nữ,30/05/2010,034905329433,0343667390
CQ268,Phan Thanh Mỹ,nam,29/04/1985,022620018490,0987965123
CQ269,LÝ GIA NHÂN,nữ,23/6/2016,002762962414,0998219116
CQ270,TẠ ĐÌNH YẾN,nam,17/03/1997,051934176898,0379237415
CQ271,ĐẶNG QUỐC DUYÊN,nữ,06/10/2010,042441881091,0321175818
CQ272,VƯƠNG ĐÌNH HƯƠNG,nữ,16/07/2002,089622668181,0907437406
CQ273,Lý Đình Thành,nữ,08/06/2016,035851585566,0761511114
CQ274,Phạm Thanh Nhân,nữ,29/10/2017,011575073687,0703076349
CQ275,VŨ GIA THẢO,nữ,29/9/2010,033547067418,0779565070
CQ276,ĐẶNG HỮU TRANG,nam,21/01/2004,074886193115,0701995861
CQ277,DƯƠNG KHÁNH VINH,nữ,29/01/2020,089714192377,0339597306
CQ278,TẠ THỊ VŨ,nữ,08/01/2015,089102851297,0708960215
CQ279,HƯNG QUỐC NHÂN,nữ,19/12/2015,070517558757,0327791943
CQ280,HOÀNG THANH BÌNH,nữ,26/11/2009,048488960748,0592075049
CQ281,HƯNG ĐÌNH TRANG,Nam,08/05/2014,027316749629,0704134951
CQ282,Dương Gia Lan,nữ,05/07/2020,082158982137,0934951219
CQ283,Phan Thị Hồng,nữ,04/08/2019,006325433139,0521284152
CQ284,Đặng Thị Đức,nữ,16/08/1986,083615589109,0351513419
CQ285,Vũ Ngọc Lê,nữ,20/01/1991,093907017106,0364611086
CQ286,MAI QUỐC TIẾN,nam,27/04/2011,075557491089,0589518671
CQ287,ĐẶNG THỊ VY,nam,20/07/2007,036389314030,0761926759
CQ288,BÙI VĂN TOÀN,nữ,28/11/2004,006192255212,0592046542
CQ289,VƯƠNG THỊ VŨ,nam,22/08/2012,066136844661,0344766018
CQ290,Ngọc Thanh Minh,nữ,30/12/1991,064156678302,0788755504
CQ291,HƯNG KHÁNH ĐỨC,nữ,26/04/2004,079865590386,0787571088
CQ292,NGUYỄN THANH XUÂN,nữ,15/01/2017,001242853826,0788026995
CQ293,NGỌC ĐÌNH DŨNG,nam,14/07/2009,025993795182,0392952839
CQ294,LÊ KHÁNH ĐỨC,nữ,15/02/2018,033808251042,0569664927
CQ295,Hà Thị Lan,nam,09/12/2016,094995416848,0892264239
CQ296,HỒ HỮU NAM,nam,08/06/2012,067412924333,0939210173
CQ297,TẠ GIA CẨM,Nữ,21/11/2008,080262267379,0776171239
CQ298,VÕ QUỐC KHÁNH,nữ,29/08/2004,075506497600,0872546034
CQ299,VŨ GIA THÀNH,nam,21/12/2019,092355914203,0993586223
CQ300,TẠ VĂN THÚY,nữ,26/11/1999,014598174134,0915175113
CQ301,TRỊNH MINH THẢO,nữ,22/07/2018,015437809587,0899109385
CQ302,HỒ VĂN TOÀN,nữ,06/08/2015,012612554205,0989012180
CQ303,NGỌC THỊ VINH,nam,01/02/2003,080696026470,0585898074
CQ304,TRƯƠNG HỮU CẨM,nam,26/12/2002,086772817413,0348147531
CQ305,LÊ VĂN THÁI,nữ,26/03/2022,079680856530,0357627528
CQ306,BÙI MINH TUYẾT,nam,30/01/2002,045914857339,0372826429
CQ307,TRƯƠNG MINH VỸ,nam,20/12/2001,051304608402,0933869843
CQ308,PHAN THANH THÀNH,nữ,11/10/1983,012459275930,0998323055
CQ309,LƯƠNG GIA THÚY,nữ,27/05/2015,058851756024,0705169928
CQ310,LƯƠNG KHÁNH VÂN,nam,01/07/2006,020795409409,0366433324
CQ311,TRÍ THANH THÚY,nam,05/07/2016,077102388641,0583454308
CQ312,HOÀNG THANH ĐỨC,nam,25/05/2006,027635212926,0389877711
CQ313,NGỌC THỊ HUY,nữ,07/05/2007,096132438679,0812576466
CQ314,HOÀNG GIA DŨNG,nam,23/01/2002,054506961050,0564002622
CQ315,NGUYỄN ĐĂNG DUY,nam,01/10/2004,079428222781,0833887460
CQ316,LÊ ĐÌNH VŨ,nam,28/09/2006,068688896416,0902541143
CQ317,TRỊNH MINH NAM,nam,27/05/2014,054321573224,0895775230
CQ318,ĐỖ MINH THÁI,nữ,08/12/2018,045258097945,0986621738
CQ319,LÂM VĂN HÀ,nữ,13/06/2010,089666583843,0781429936
CQ320,LÊ QUỐC THÀNH,nam,20/10/2008,051279891376,0945943647
CQ321,LÝ HỮU THÁI,nữ,23/01/2020,066699799328,0706253712
CQ322,VÕ THỊ LINH,nữ,02/07/2021,025283404107,0941739815
CQ323,BẠCH GIA CHI,nữ,23/03/2000,046107248910,0887518402
CQ324,NGỌC QUỐC SƠN,nam,07/11/2012,001546859349,0787219692
CQ325,VŨ HỮU QUỐC,nam,03/09/2005,011576355205,0322441956
CQ326,VÕ GIA MINH,nữ,06/11/2023,008756322967,0881967971
CQ327,HOÀNG VĂN TIẾN,nữ,16/10/2015,033352667887,0908874535
CQ328,VƯƠNG HỮU TOÀN,nam,09/01/2003,051419676066,0935071504
CQ329,Trịnh Gia Anh,nam,25/11/2009,079334106796,0383959448
CQ330,NGỌC THỊ KHÁNH,nữ,14/01/2006,037472932837,0564733918
CQ331,HÀ HỮU QUANG,nam,22/05/2005,048946577932,0383044198
CQ332,Hà Gia Vỹ,nữ,09/02/2022,049437686839,0788055369
CQ333,HOÀNG VĂN ANH,nữ,07/01/2010,079799642437,0831635679
CQ334,Ngọc Hữu Toàn,nam,27/03/2022,087815335922,0763969476
CQ335,HOÀNG QUỐC THÚY,nam,06/07/1990,022981706608,0386031194
CQ336,LƯƠNG GIA LINH,nam,04/10/2019,056469937532,0768319738
CQ337,TRẦN MINH THÚY,nữ,22/12/2008,058875761891,0568837291
CQ338,LƯƠNG VĂN LƯU,nữ,28/08/2006,075501975634,0769780113
CQ339,NGUYỄN THỊ TÂM,nữ,03/02/2022,074111856926,0983939674
CQ340,LÊ VĂN LƯU,nam,02/02/2010,010726013233,0569546356
CQ341,HỒ QUỐC SƠN,nữ,11/04/2015,093395295457,0351615168
CQ342,Lương Minh Tú,nam,17/08/2005,014645823384,0789212706
CQ343,BẠCH THANH HÒA,nữ,05/02/2015,035820238739,0564704161
CQ344,VŨ QUỐC VỸ,nam,08/05/2014,001550935653,0834031781
CQ345,LÝ MINH VÂN,nữ,20/11/2012,054783382308,0901400801
CQ346,LÝ Đình THÚY,nữ,14/03/2012,025959445280,0873065117
CQ347,TRÍ ĐÌNH MỸ,nam,29/07/1997,094541816608,0946588075
CQ348,BÙI NGỌC TIẾN,nữ,08/05/2000,026833841232,0992452731
CQ349,BẠCH VĂN TÙNG,nữ,15/02/2022,012900916496,0973894375
